Author,Comment,Guesses
DC MT,"655.5 lbs?",655
Frank Mancari,"620 Pounds?",620
Mike Rinaldi,"748 lbs?",748
Marty German,"765?",765
Cameron Quinn,"I'll go ahead and say you weigh 640 lbs together.?",640
George Stamp,"669 lbs?",669
JoWiTainment,"628 pounds :D?",628
Steven Garcia,"Total: 649 lbs.\nLee - 162 lbs. Chappers - 216 lbs. Bea - 271 lbs.\nHello from Wichita<comma> Kansas USA\nA.K.A. Brownbackastan?",649
riskmandel1,"642 lbs?",642
Paul Arms,"640 lbs?",640
Migrating Rocks!,"750 pounds?",750
Dick Heiney,"680 lbs. Love you guys :)?",680
Das PK,"Sum of 683 pounds?",683
Luke Hall,"694 pounds?",694
TreyTrizz,"705 lbs. is my guess<comma> even though it should've been 666 lbs. 705! is the real guess from me?",705
Joe Shite the Ragman,"I'm 6"1 I'm tonnes of fun and I'm a fat cunt hahahahah?",
Noah Prins,"607 pounds?",607
Eric Altpeter,"My guess is 695!?",695
Mike Seddon,"644lbs is my guess?",644
skyler roland,"701 pounds? I have no clue!?",701
stkak97,"683.2 lb?",683
The last lemon of time,"745 pounds...ish?",745
JMTeBOCK08,"I'm going to guess 638 pounds?",638
Leonardo Milani,"600 pounds!?",600
Jac7ob,"630 lbs total\n\nCaptain - 180 lbs\nChappers - 200 lbs\nBea - 250 lbs?",630
Antoni Czernekv2,"It's 602.59 lbs :D?",602
Jos Feenstra,"720 pounds!?",720
Thomas Rhodes,"644 I reckons?",644
lrdxenoth2,"my guess is 673 lbs!?",673
Seth Howard,"560 lbs?",560
Guitar Guy,"665 lbs?",665
GGJake,"653.7 lbs. this what a lot of fun to watch!?",653
Matt Borders,"695?",695
jelliedweasel,"655 is my guess.?",655
Tylar Helman,"568 Pounds would be my guess?",568
Marnix W,"200*pi pounds! (628.3185)?",628
Wayne Bridger,"Nice pink floyd esque sounds?",
saturnfanatic,"680lbs?",680
Chris Churchlow,"664 pounds!!!?",664
Jill Sandwich,"I'd have to guess maybe 620lbs??",620
OcarinaguyGaming,"558 pounds?",558
Connor O'Halloran,"699 pounds?",699
Adam sparrow,"669 lbs?",669
Brian Hays,"510 lbs?",510
Matthew Colson,"672 pounds collectively?",672
Dan,"I'm gonna go with 707 lbs?",707
lermz 187,"580 pounds. all together?",580
Brady Drummond,"My guess will be 637 pounds?",637
Ho Kira,"660lbs (first entry didn't put units...hope this is okay...:P)?",660
515berzerk,"683<comma>2?",683
Conor Sadauskas,"I'm going to guess 642 pounds!!!!?",642
Onryo,"688.3 lbs combined?",688
Jai Reyes,"419 lbs from the Philippines?",419
Grant Bowen,"I'm going to guess about 645lbs. Cheers!?",645
Facundo Grunull?,"I'm guessing around 550 lbs<comma> no more than 600 tho.?",550
Sam Harrington,"612 pounds for sure?",612
xblinketx,"650 pounds all together stacked on the Mooer pedalboard case ;)?",650
Ho Kira,"660?",660
tansley09,"687 pounds :)?",687
ckhgator,"+Rob Chapman can you approximate the height of you<comma> rabea<comma> and lee for us??",
Gordon Boyd,"My scientifically calculated guess is 902 lbs. - sorry guys<comma> but it is!!?",902
James Roddick,"My guess is 688lbs?",688
barnett25,"621 pounds?",621
Adam Bennett,"705.6lbs. I have now idea how much this is. I only know stone.?",705
Joe Morgan,"My guess is 675 pounds?",675
Nate Devereaux,"603 pounds?",603
George Davidson,"694 lbs?",694
Keith Coballes,"680 lbs?",680
Converse6446,"Lee 170 pounds\nRob 242 pounds\nBea 330 pounds\nTotal 732 pounds?",732
King Lude,"How about 671 pounds ...?",671
Michael Owen,"ill guess 670?",670
OcarinaguyGaming,"My guess is 579 pounds<comma> greetings from Costa Rica?",579
David Guthrie,"Gonna say 578 pounds!?",578
Leo Potato,"My guess is 642lbs?",642
Thingum Bob,"622<comma> lads?",622
Jes Studsg?rd,"My guess is 639 and a half. If you guys aren?t fat enough to weigh 639<comma> then you should go have pizza<comma> on my treat :)?",639
Noah Eide,"140+200+250=590lbs total hopefully?",590
Sharoon Tariq,"Lee - 165\nRob - 195\nBea - 250\nTotal - 610?",610
Will Phillips,"687 is my guess?",687
Victor Wascher,"i guess 703 pounds?",703
Lee Maxey,"638lbs. And that's factoring in Rob's weighty brain!?",638
Wayne Bridger,"My guess is 565<comma> total?",565
Stefan Andreew,"My guess is 594 punds.?",594
AfterEffectsGuru,"550 pounds!?",550
Adam Bloom,"my guess is 795lbs?",795
TommyJo Sexton,"710 lbs?",710
SoapyTheMonkey5,"465 pounds?",465
Jake Gray,"I'm guessing it was somewhere around the 704 lbs range. Greetings from Cleveland.?",704
TillTomorrow,"Your total weight is 701<comma>4 pounds!?",701
Sebasstian86,"My guess is 689 pounds. I'd like the captain's board please ;-)?",689
scotty554,"I'll go with 642lbs.?",642
Lukas krause,"I think the total weight is 583 lbs :)?",583
BarlowBoy13,"570 lb?",570
Arthur Pinto / Eizan,"My guess is 638<comma>3 :) obs: have no idea about The height<comma> i'm from Brazil :/?",638
Barogic,"My guess is 710 pounds.?",710
Don P,"572 lbs maybe?????",572
sam grogan,"638 pounds?",638
JegueBroche,"I'll say about 700... but then again we know it's something more like the weight of a small planet because of all the heavy riffs contained in Chappers and Bea.?",700
Nikom,"I had birds telling me that the answer is 661 pounds?",661
Harry Nelson,"667 pounds?",667
Alexy Zhuk,"637 lbs?",637
Ash Preen,"686 lbs of goodness!?",686
Lukey Pooky,"675 lbs?",675
Brian Hardoin,"Lee - 164\nRob - 211\nBea - 239\n Total - 614?",614
Claire Stephens,"708 lbs?",708
Bradley Smith,"658 pounds?",658
faiz31887,"690 lbs. \nHopefully Dimebag guides me as well.?",690
Vitalz,"Total: 580 lbs?",580
Nicholas Agtual,"654lbs?",654
MrShippudenfan,"Idk maybe 660 pounds?",660
josh78c,"566.5 pounds?",566
Nitwit McStupid,"For all three 628.317 pounds. I'll pray.?",628
Theasianspartan,"I added a comment earlier on but forgot to convert<comma> so here's my answer in pounds :571.407 lbs?",571
Do it all Dude,"No sorry 500lbs?",500
abraham ruiz,"736 pounds?",736
pedro Pooter,"I guess 604 <comma> greetings from brazil?",604
Jim Sayles,"630 Lbs?",630
Wilmar,"610 pounds?",610
BoJackBrown,"720 lbs?",720
Matthew Williams,"683 pounds?",683
Marcin Sikorski,"Is it 644 pounds??",644
Hunter Goff,"I believe it's 665.?",665
JROD Plays...,"701lbs?",701
Ro?ary,"Weight: 660lbs<comma> 47 stone<comma> 299kg?",660
Shrink 334,"I have no idea about weight<comma> but I guess 628<comma> 3 d-20 rolls got me that ??",628
DJEAS3,"685 pounds of fun?",685
Jhon Felipe Vivas,"I guess their body weight combined is about 623 pounds. Cheers!?",623
Felix Borgers,"622.5 lbs?",622
Kenre Buctuan,"650 pounds?",650
J?lio Collado,"Great video<comma> \nI hope I get second place man! \nYou all weight<comma> together<comma> 626 pounds.?",626
Fergus Upton,"Random guess of 617.83lbs?",617
pollypupspueppchen,"I think the sum of weight of you three guys is 683 lbs?",683
DenialGuitarists,"i think 660 lbs?",660
Trent Sebastian,"728 pounds. That's my guess.?",728
siets96,"Great vid :D my guess is 666 pounds!?",666
Ronnie Stjohn,"im guessing 625 pounds. captain around 165<comma> chappers 210 and rabea 250.?",625
Jimmy Milne,"I would hazard a guess at around 572 pounds.\n\nPraying to come second place<comma> though! haha?",572
Nimal Crackers,"655lbs.\n\nRob - 235\nBea - 250\nChappers - 170?",655
Neal Gonz?lez,"709<comma>5 pounds?",709
William Gill,"I guess 598 pounds?",598
Joe Danks,"I think the combined weight is 693! Would sound saweet with my pink danelectro xxx?",693
Ben Orlowski,"657 Pounds is my guess. Love the videos guys?",657
themaddestmarchhare,"I vote 658lbs?",658
Bad Captain,"617lb!?",617
Noah Eide,"Their jam sounded like breathe by pink Floyd a little?",
Jamie Proctor,"Already commented but not 100% sure it posted properly so i said 630 lbs?",630
marth arius,"628<comma>317 pounds?",628
Joshua Lopez,"660 pounds? Lol I loved that editing at <a href="http://www.youtube.com/watch?v=FOw7ViIp25A&t=14m59s">14:59</a>?",660
Guilherme Galv?o D'Imp?rio Teixeira,"650<comma>4 pounds?",650
Khal Gregdor Baelish,"I think the total weight is 684 pounds<comma> love the videos guys :)?",684
Cesar Ibarra,"I'm going to guess 539 lbs?",539
cliff23232,"643.5 lbs. great vids.?",643
fkfilas,"My guess is 594 pounds?",594
Blair Deaguero,"862 pounds?",862
R?nar ?rn Olsen,"Combined weight of all three 588<comma>6 pounds :)?",588
Junior Martain,"Not so heavy<comma> around 559 lbs.?",559
MisterRuL,"724lbs? Cmon lemme win this HAHA?",724
Patrick Hatch,"I gonna go with 610?",610
gwion jones,"I guess 546 pounds?",546
Julien Valois Dobbie,"550<comma> mates.?",550
Alkali Calx Alkalhest,"I'm gonna put it out there and guess 725 lbs total; 189 lbs for the Captain<comma> 231 for Chappers<comma> and 305 for Bea?",725
Paranoid JD,"Going to go for 717lbs?",717
Tamas Cseke,"I think it's 598.87 pounds (271<comma>62 kg)?",598
Lawrence Gillespie,"Guess: 695 pounds. That was a fun video. Thank you for being entertaining<comma> as well as informative :-)?",695
Axl West,"666 pounds?",666
LivingMonstrasity,"Capt. Lee: 165 lbs \nChappers: 260 lbs \nRabea: 310 lbs \n\nTotal: 735 lbs?",735
adamlamar,"580 British Pounds (not the currency tho.)?",580
MrAndysandyinnebandy,"595<comma>25lbs?",595
Bardock434,"674 pounds maybe?\nCheers from Georgia?",674
King Kong,"645 all together?",645
Jake Veatch,"669.4\n lb?",669
NinjaryNinja,"628.6 pounds :)?",628
Shannon Hampton,"690?",690
RandomStudios110,"I think the combined weight is 672lb?",672
Andrew Hall,"Going with:\nCaptain: 165\nChappers: 240\nBea: 310\n----------\n715 + 1 for luck= 716?",715
Adam Canning,"636 pounds?",636
Rowan Connolly,"I reckon that the total weight is 650 pounds?",650
808drahciR,"677 pounds.?",677
Loco Mono,"my guess is 645lbs?",645
shawn,"550lbs?",550
Allan Cosino,"I'm pretty sure it's 685.55 lbs.?",685
Chris Poole,"I guess 637 pounds?",637
Steve Howells,"602 pounds?",602
dongazon,"648 lbs?",648
Damian Martinez,"673 lbs?",673
Sean Smith,"734.9lbs?",734
Zachary Roberson,"I would guess around 728 lbs total.?",728
Rihanna19697,"Rob - 212lbs\nLee - 182lbs\nBea - 226lbs\nTotal - 620lbs?",620
Keiran Colley,"643 pounds?",643
Jonathan Upton,"623 pounds!?",623
DevinThe242,"My guess for the three of you combined is 620 lbs.?",620
Levent Kutlut?rk,"719 pounds will be my guess.?",719
alex hill,"Hey guys love your stuff 670 pounds?",670
Steph Sevis,"I'll say the total is 620?",620
TokaiLover,"663 lbs \m/?",663
Lewy Morland,"Guessing 670 lbs?",670
James Mathews,"170-Lee\n235-rob\n275-rabir\n680 total?",680
SnowMonkeySoFunky,"760?!?",760
Ricky Castellana,"i think something near 642 lbs?",642
Jacob Courson,"I think the total is 650 or around that!?",650
master69 xx,"763.4 pounds is my guess?",763
TheOllieJackson,"683 Pounds?",683
Matt Heckman,"680 pounds!?",680
Jayden Crawford,"711 pounds?",711
Ric Ross,"i say 615 lbs?",615
Liam Lawson,"I'm going to guess 635lbs?",635
Rhys Williams,"628.318530717958 lbs?",628
Mjm595959,"680 :)?",680
Jody Kenson,"658 pounds??",658
Ethan Schlocker,"Hello from California!\n491 pounds?",491
Dale Enright,"I'm gonna hazard a guess and saaaaaaaaaay... 657 lbs! ;)?",657
Jesse Turpin,"I think that the total weight is 655 lbs?",655
Sam Wilding,"530 lb \nI don't how much a pound is but whatever?",530
Ivebeenharpooned,"720 pounds?",720
Over the hill cheap gear noodler,"My guess is 721 pounds.? Please do not be offended by this<comma> but<comma> that is my best guess.? That being said<comma> I honestly do not care how much the combined weight of the three of you is.? I appreciate the overall fun factor of how you add laughter along with information vital to more fun to my day and a lot of other people.? On a side note.? When will you weigh yourselves?? Meaning<comma> if you all get up in the morning and have a large breakfast with coffee then weigh yourselves you might weigh 730 pounds.? But<comma> if you wait until after the much deserved bathroom break going both number one and number two that could bring you down to 700 lbs.? I'm just saying.? I hope someone gets a laugh out of this comment<comma> no matter the outcome!? Actually it's a good thing you are not doing this with the weight of your significant others!? That would be real drama!?",721
Casey Taylor,"675 lbs. although I want to win I'd rather win Lee's pedal board because it'd actually be useful. they should switch out some pedals on chappers so more people actually want it.?",675
flacomen88,"The weight is 617 pounds. Love from El Paso<comma> Texas!!!!?",617
Kris Baier,"690.5 lbs is my guess...?",690
Vansh,"628 lbs !!?",628
jake clement,"745?",745
Luke Marlow,"642 ibs? Obviously that goes up by 14 ibs if you add Dave because he's a stoner.?",642
Carl K,"700 lbs !!?",700
Gustavo Medeiros,"haha<comma> this is fun!\nI guess you all together weights 664lbs!?",664
Philip Baggridge,"530 pounds in total i think...?",530
Roger Smith,"620lbs!?",620
Adam Howell,"619.7 Ibs?",619
Hugo Areias,"Is it 725 pounds??",725
Chandler Branstetter,"731 lbs worth of straight rock n roll!?",731
Petri Korhonen,"666.6 lbs?",666
drrockso93,"620 pounds in total!?",620
Josh Duprey,"I think the total weight is 675 pounds?",675
Cole Fateley,"640!!?",640
Owen Garrity,"711 lbs?",711
Mitch Hansen,"I'm guessing 666 lbs. Hell yeah. \m/?",666
Axel Ngonga,"672 pounds?",672
Fets Dor,"634lbs for all three of you!!?",634
JugglingJack,"666 pounds! YEAH!?",666
Tanner Kaaz,"662?",662
Toby Elkington,"648lbs (sorry boys)!?",648
Everardo Sanchez,"661 pounds?",661
Cathal Burke,"I think 666 pounds hehhehe?",666
Aubrey Seaton,"I'm guessing 611.?",611
ranian02,"I think 706 pounds?",706
GuitarRedShow Tv,"683.4 lbs?",683
Boblinkiller,"616 pounds?",616
TheTrophydreamer,"I'm gonna go with 685 lbs?",685
Akiva Steinmetz,"total weight is 674 pounds?",674
Bob Herrmann,"I'm gonna say 634 pounds...  and a question. If someone gets first place could that person choose the 2nd place board instead?  Because damn<comma> Cap's board sounds good!?",634
James Mackay,"700 pounds?",700
Simon Vouga,"I'm saying 639 ! Switzerland enters the competition<comma> oh yeah !?",639
DystoKhan,"I guess 628 lbs ! \nBy the way <comma> great jam in here?",628
ChromesClips,"647 lbs?",647
Rob White,"I'll go for 678 pounds<comma> using myself as reference I think Chappers might be around 242 pounds<comma> Lee around 172 and Bea something like 264 pounds.?",678
Kamiel Sommen,"I would guess 590 pounds.?",590
mometify,"657?",657
CodeX278,"692 pounds?",692
Oscarbennewton,"691 pounds collectively\n175 pounds for lee\n230 pounds for Rob\n286 pounds for Bea?",691
TJ BUMBICO,"697 pounds.?",697
pcanarsky,"690 pounds?",690
Jalen ?JohnnyLoon? James,"I would have to say about 598 lbs?",598
Leonel Calvia,"I'm gonna say... 674?",674
Sam Wiggin,"Lee is 12 stone(ish)<comma> Rob is 16 stone(ish)<comma> Be a is 22 stone(ish). Combined weight of 700lbs(ish)?",700
Matt Rankin,"643?",643
Charlie Snippel,"707 lbs. Dist 4 the win  \m/?",707
M C,"664 pounds?",664
Oskar Vib?k,"681 lb.?",681
MrGarvinmusic,"My guess is 648 pounds.?",648
Fede ?Pastillas y Dragones? Corva,"The total is 616 pounds!\nCaptain : 161\nChappers : 200\nRebea : 255?",616
fauxfreshness,"I'm guessing 613 pounds. <a rel="nofollow" class="ot-hashtag" href="https://plus.google.com/s/%23chunkylovers">#chunkylovers</a>?",613
Matt Kitchel,"total weight: 698 lbs?",698
kvelstad,"617<comma>4 lbs?",617
Mr Soul Guitarist,"685 pounds?",685
Marek Wlodarski,"I'm guessing that the total weight of all three of you guys is: 638lb\nGreetings from Brooklyn<comma> NY?",638
Saleem Dweik,"I guess 679 all together?",679
Quincy Steely,"680 lbs?",680
Samuel Bantea,"770?",770
Callum John Cant,"651 lbs?",651
andrew sharkey,"my guess is - 632-  pounds<comma> come on the boys?",632
ThunderwingDoomslayer,"590 lbs?",590
Brendon Buxton,"670?",670
silver fox,"623lbs. thanks?",623
silver fox,"623lbs. thanks?",623
ronnie james gio,"596 pounds?",596
Jim Patrick,"In for the win at 682?",682
Joe Crowther,"683.2 pounds... I'm a wizard?",683
Xiaoyuan Meng,"580.5 lbs.?",580
Travis Buddingh,"526 pounds :3?",526
silver fox,"I'm going 623 lbs. thanks.?",623
silver fox,"I'm going 623 lbs. thanks.?",623
Eddie Duran,"635 lbs?",635
dimitrije djordjevic,"I think 639.34 pounds Hello from Serbia ! :)?",639
Alex Mallett,"695 pounds total?",695
Colin McDonald,"combined weight 634.6?",634
srvfan2009,"612 LBS. of sonic succulence!!!?",612
Eli Lundgren,"621?",621
Eric P.,"598 \m/?",598
Saleem Dweik,"keep up the awesome vids!?",
Oliver ?ien-Sramek,"I think you weight is 672 pounds. Hope I wasn't rude on the number there??",672
Jernej Mau?ec,"I think around 529 pounds should do it?",529
Steven Faust,"680 lbs?",680
Adam Connolly,"645 lbs?",645
Levi Rajnowski (gjhsdiscmaster),"615 lbs.?",615
Roel Boomaerts,"651  lbs?",651
Thomas Porton,"714lbs?",714
Jonathan Chavez,"725lbs?",725
heatstreak1,"697lbs?",697
changito 11,"660?",660
Thomas G,"546.5 (enjoy these videos especially the edits that just seem out of place yet hilarious) lol?",546
Lucas Pletz,"My guess is 673 pounds?",673
9874561203,"683 lbs.?",683
Cory Wilkinson,"773?",773
sleepmyserenity,"730 lbs!?",730
Vaughn Faison,"I'm guessing 715 lbs.?",715
Lincoln 117,"635 pounds?",635
surviverman10,"My Guess is 740 lbs.?",740
Lewis Palmer,"My guess for total weight is 735 pounds.?",735
11cc,"712 pounds?",712
PAN MAN,"570lb?",570
samet kendirci,"625 pounds?",625
Bloodlines6262,"Total is 685 pounds.?",685
brizza72,"635lbs.  Cheers for the great videos and competition guys.?",635
Jake Rowan,"i wanted to see that wah sooo bad lol XD?",
MrShoryuken1,"Rabea is the man.?",
Lotus_Eater_Machine,"750 pounds??",750
Michael Schwartz,"725 pounds?",725
Adriano Macedo,"641 pounds?",641
Peter Gkatsos,"882 lb?",882
Ramazan Kendirci,"630 lbs!?",630
Evans Films,"my guess is 665lbs?",665
isengard13,"659 pounds.?",659
Ron Wright,"670?",670
Callum Sneddon,"Captain 196 lbs\nChappers 228 lbs\nRabea 247 lbs\nTotal 671 lbs?",671
Petros Far,"682 pounds?",682
Eryk Gembalik,"Rob 215.6 lbs\nCaptain 163.8 lbs\nBea 289.6 lbs\n\nTotal 669 lbs?",669
Vitor Marx,"620 pounds total?",620
Mud Sound,"619lbs?",619
mickey mick,"400 pounds?",400
joegnrslash,"im gonna?say 620 :)?",620
more doom,"617<comma>3 pounds is my guess    \n =}?",617
Philipp Turri,"I would guess 628 lbs?",628
Dave Salmons,"630lbs I'mma guess.?",630
Ganesaviii,"I say 678 lbs?",678
Nico C. / Mordra,"Cap: 176.37 pounds\nChap: 209.439 pounds\nBea: 231.485 pounds\nfor a total  of 617.3 pounds (:?",439
Jared Winn,"670 lbs?",670
Munchbob,"618lbs?",618
Michael Wilhelm,"624 pounds.?",624
Aaron Folkrod,"I think Lee is 170<comma> Chappers is 210<comma> and Rabea is 240 for a grand total of 620 pounds! Love my Mooer Slow Engine and Blues Mood! Great vid and good luck to you all!\n-Aaron?",620
Graham Robinson,"Hi guys. 617.?",617
Fnassau,"714 lbs - may this be my lucky number :}?",714
Miguel Palavra,"My guess is 654 pounds?",654
geehump,"684 lbs!?",684
Armando Garza,"776lbs?",776
Scott Hornsey,"i think 623.000001 pounds! \m/?",623
Charlie Ormes,"I'm going for 616 lbs.?",616
Goofy GooberInc,"My guess is 668 lbs or 47.714 stones haha!?",668
FKnoph,"Precisely 655 pounds!?",655
Vahl - Die,"My total weight guess: 665<comma>796 pounds?",665
GreenmanXIV,"659.5lbs ;-)?",659
Ran Weisberg,"630lbs?",630
Merve Geyik,"622 pounds?",622
Roger Stucki,"637 pounds!?",637
Heaven,"Around 634 pounds I think.?",634
Eivind Engdal,"689!?",689
Random Model Making Channel,"I guess 649.99 imperial pounds?",649
The Minds Playground,"732 lbs?",732
Justo Centurion,"705.6 pounds total?",705
SpectreSoundStudios,"Choose ME damnit! :P?",
Michael Sharkey,"710 lbs?",710
Christopher Mikan,"My guess is 685 pounds.?",685
Adam Jackson,"my guess is 715 pounds?",715
Nico Vives,"My guess is 616.1 pounds?",616
Thibaut Grogna,"665 pounds?",665
Jacob Rutherford,"im guessing \ncap10: 173.4\nMonkey lord: 227.6\nBea: 263.7\ntotal 664.7?",664
SpeakInShift,"640 lbs - 185 for  the Captain<comma> 215 for Chappers<comma> 240 for Bea. Greetings from sunny Los Angeles!?",640
Evan Hopper,"Total of 693 pounds?",693
LucasCosta98,"My guess is 616 pounds?",616
leroy20493,"I'll say 530 lb???",530
Jeroen Ravenschlag,"727 pounds?",727
Braulio lua,"my guess... 595?",595
Ben Burley,"700 lbs in total?",700
WarmedBiscuit24,"My guess is 678 pounds.?",678
Andrew Hudspith,"630 pounds<comma> I beleive?",630
harry arnold,"648 pounds?",648
Mike Hunt,"735 lbs love from Aberdeen<comma> Scotland?",735
Kai Down,"655.1 lbs<comma> including Bea's shoes.?",655
Unkown_one,"616 lbs.?",616
James worley,"625lbs?",625
Christopher Vinson,"I'm going with 748?",748
Joe Howard,"661lbs?",661
Jay ?J? Pickering,"645lb. Thanks for another great video guys ??",645
Mark Whitelaw,"690 lbs?",690
Matt D'Amico,"I'll guess 673 pounds?",673
Cheese8666djonRS,"580lbs?",580
John P,"720 pounds?",720
Where The Sky Ends,"643 lbs.?",643
maria angelica alvarez,"607 pounds?",607
Kit Francis,"639.3 lbs :D?",639
Music guy Phil,"I'm guessing 650~ pounds.?",650
Nicholas Ridpath,"555 pounds?",555
skexinator,"577lbs!?!?!?!?!?!?!?",577
Inge J?rgensen,"I'm guessing 655 lbs?",655
Van Lennon,"705 lbs?",705
dotkomist,"Gonna go for Lee: 78kg=~172lbs<comma> Robert: 95kg=~209lbs<comma> Bea: 128kg=~282lbs. Combined weight: 301kg=~662lbs=~0.37 metric fucktons.?",662
Isaac Perry,"I'm gonna go with.... 656?",656
Joe Hillier,"663 pounds.?",663
OccultWolf,"682 pounds.?",682
D Kerr,"I'm gonna wager you're ~650 all together. Loved the video :)?",650
Ricky Grissom,"645 lbs.?",645
Tom Wood,"658 pounds??? I'm sorry if it's way off?",658
Luca F1,"693<comma>5?",693
Emiliano Dewey Barron,"Total amount 434 lbs (31 stone). Lee is 105 lbs (7.5 stone)<comma> Rob 154 lbs (11 stone)<comma> Rabea 175lbs (12.5 stone).\n\nHaha<comma> I think :)?",434
beastmanmw,"My guess is 640 pounds altogether?",640
Christian Calkins,"649?",649
Owain Graha<comma>,"658 all told?",658
G-gamer,"Im gonna say about 590 pounds?",590
Will Watkins,"630 lbs!?",630
keaton mackel,"671lbs?",671
tyc00n10,"666 lbs. \m/?",666
Grant Cornell,"225(Rob)+160(Capt)+297(Bea)\n=682 Lbs?",682
Dave Reese,"Combined weight 703?",703
laurynas tamasevicius,"552 pounds?",552
George Sharpe,"My guess is 630 pounds?",630
TheAngryPancakeBros,"I'm guessing 647 pounds?",647
BethPlays Games,"I think 709.8lbs?",709
WarriorofChaos20,"607 lbs combined?",607
Benjamin Jolly,"I think yall will weigh 733 lbs?",733
Ramon Mrashark,"601<comma>862 pounds?",601
! TheGamingMetalhead !,"It's 683 pounds I think?",683
George Sharpe,"My guess is 630?",630
chilly tunes and crazy faces,"I guesstimate: 638<comma>3 pounds.?",638
Ihan Acevedo,"658 pounds?",658
stonegard666,"714lbs?",714
zeblin,"518 lbs?",518
rory levell,"639 pounds?",639
Arthur Higgins,"614.2?",614
Damian Pace,"My guess is 651 pounds?",651
Jm Vidal,"its 688.6 pounds?",688
dom54100,"682 lbs?",682
Terry Carr,"I'm estimating 700 pounds.?",700
TheGhostOfKarelia1,"704 lbs?",704
meme boy,"652?",652
CraCkerX25,"610 pounds  :)?",610
Lewis Farish,"I guess : 687 \n\nLove you three<comma> keep up the amazing videos!?",687
John Haught,"690?",690
Chrake TCM,"Great vid as always guys<comma> My guess is going to be 663.2 pounds :)?",663
Matt Derynioski,"622 pounds is my best guess.?",622
Bigfoot,"I'd have to guess 665 lbs.?",665
Dominick Panoz,"645 pounds?",645
SandStormer,"<a href="http://www.youtube.com/watch?v=FOw7ViIp25A&t=6m16s">6:16</a>?",
Malachi,"715 pounds?",715
Gogan L,"650 lbs?",650
Rob Rodin-Simcock,"686?",686
EzyRyder14,"714 lbs. Fun video too!?",714
Luke Henning,"647 lbs feels right. I need some more gain in my life.?",647
ChutchFry54,"My guess is 692lbs. I love you Lee and Rob. And Bea too.?",692
Joe Hodo,"718 lbs?",718
Michael Costa,"Hmmmm...723 lbs?",723
pitchaxis1313,"How about 686.5 pounds! Following from Charlotte<comma> NC USA.?",686
ThePageNo1,"671 pounds??",671
Joshua Nickless,"750 pounds???",750
Ruben Rabago,"I would go with 500 pounds total.?",500
Jeff's Weird Tales,"I'm guessing 725. Gotta be close...I can smell it.?",725
rory levell,"can you post beas line uncensored on Facebook??",
Jack McHugh,"717 pounds?",717
Zach Bird,"Lee ~182\nRob ~ 226\nRabea ~ 264 (proper man size) \n\nTotal = 672 pounds?",672
Perry Zonneveld,"i'll think 617 pounds will do the job?",617
lazy347,"650 lbs total?",650
Tritonus Seitan,"679 lb?",679
William Woods Ballard,"660 pounds??",660
Joel Hand,"678 pounds?",678
Toxic MidNiTe16,"710?",710
Joshua Knight,"I reckon 672lbs?",672
Dalton L,"632 pounds total?",632
Raymond Donaldson,"647 Pounds?",647
falstorm,"I'd say about 605lbs. Cheers from Massachusetts!?",605
Mack Ph,"645 pounds is my guess!?",645
Jorge Da Silva (JorgeCrow),"275 Kgs = 606 Pounds\nlml?",606
GuitarGuy I.,"644 pounds?",644
josiah tucker,"683 pounds?",683
Daniel Blackburn,"Total weight of 676lbs?",676
??????? ??????????,"628 lbs?",628
CzechMetalHead,"615 pounds for sure ;)?",615
Giannis Gioulountas,"694 pounds?",694
Jerrod Rushford,"716 pounds total?",716
Luuktele 14,"I guess 684 pounds. But I could be completly wrong. Never had pedals before but I have always been interested in them! Greetings from The Netherlands!!?",684
Tom Lancaster,"756 lb?",756
CallsignSlate,"610 pounds?",610
Samuel Long,"652lb?",652
The Greenside Project,"658 lb?",658
mediumslayer,"671.3 lbs.. Because why not?? you guys rock!?",671
Joel Tlahiuz Robles,"710 pounds\nAwesome video!?",710
LucasWH2k2,"669 pounds?",669
HocusMagicPocus,"682 pounds?",682
Louis Iori,"720 ibs?",720
Patrick McMahon,"648?",648
Simon,"~560 pounds?",560
mago MAN,"760 pounds total\nrob 280 \nlee 190\nrebea 290?",760
Juha Siitari,"634 lbs?",634
Jestin Ritchie,"651 lbs?",651
Kevin Raskoff,"628.?",628
Alp Mutlu,"Captain: 197\nChappers: 239 \nRebea: 257\nTotal: 693 pounds.?",693
Adam Dixon,"645?",645
oSomethingEpic,"633lbs?",633
Jim Goza,"I'm guessing 616 lbs.  (thanks for allowing pounds instead of stone!)?",616
Lauchlan Reid,"My Guess is 692.5 LBS?",692
LukeKoopa,"613lbs?",613
CyberReLoad,"710 pounds..?",710
Cjc545,"I'd say all together it would be 620lb?",620
Luke Harris,"642 pounds?",642
sittingonbenches,"679 lbs?",679
Joshua Ransdell,"861lbs not holding guitars.?",861
Ray Jey,"626 pounds?",626
Lucas Coles,"I guess 699 pounds!!?",699
Joshua Hill,"My guess is 693lbs... much love! xx?",693
John Osborne,"682 pounds?",682
Oscar Leclercq,"690 pounds?",690
Jussi Ilmari,"Total weight is 672.4099 pounds.?",672
Fallen Angel,"550 pounds?",550
Trevor Martin,"645 lbs.?",645
TheLukster100,"666 Ibs HAIL SATAN?",666
hellraiserharry,"580 lbs?",580
Andy Olson,"632 lbs.?",632
Fender Fanboy,"728??",728
One Terrorist,"638?",638
